,Date,region,load MW,Lubbock_Preston_Smith_International_Airport_Station_avg_dew_point,Lubbock_Preston_Smith_International_Airport_Station_avg_temperature_f,Lubbock_Preston_Smith_International_Airport_Station_avg_humidity_percent,Lubbock_Preston_Smith_International_Airport_Station_avg_wind_speed_mph,Lubbock_Preston_Smith_International_Airport_Station_avg_wind_gust_mph,Lubbock_Preston_Smith_International_Airport_Station_avg_pressure,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_dew_point,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_temperature_f,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_humidity_percent,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_wind_speed_mph,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_wind_gust_mph,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_pressure
103,2021-12-31 07:00:00,NORTH,813.615083,40.0,54.0,59.0,9.0,0.0,26.39,36.0,57.0,45.0,12.0,0.0,28.66
104,2021-12-31 08:00:00,NORTH,839.800473,40.0,57.0,53.0,13.0,0.0,26.42,36.0,62.0,38.0,12.0,0.0,28.67
105,2021-12-31 09:00:00,NORTH,857.780198,42.0,56.0,60.0,17.0,0.0,26.45,36.0,63.0,37.0,10.0,0.0,28.68
106,2021-12-31 10:00:00,NORTH,873.891523,42.0,57.0,57.0,21.0,0.0,26.43,38.0,65.0,37.0,9.0,0.0,28.69
107,2021-12-31 11:00:00,NORTH,884.743673,44.0,58.0,60.0,15.0,0.0,26.41,38.0,67.0,34.0,10.0,0.0,28.69
108,2021-12-31 12:00:00,NORTH,887.364165,48.0,55.0,77.0,13.0,0.0,26.37,46.0,65.0,50.0,7.0,0.0,28.63
109,2021-12-31 13:00:00,NORTH,881.687178,49.0,53.0,86.0,12.0,0.0,26.37,45.0,66.0,47.0,10.0,0.0,28.59
110,2021-12-31 14:00:00,NORTH,881.715442,49.0,52.0,89.0,12.0,0.0,26.36,47.0,68.0,47.0,6.0,0.0,28.56
111,2021-12-31 15:00:00,NORTH,880.894937,49.0,52.0,89.0,10.0,0.0,26.36,45.0,68.0,43.0,13.0,0.0,28.57
112,2021-12-31 16:00:00,NORTH,879.960374,49.0,53.0,86.0,16.0,29.0,26.3,46.0,64.0,52.0,7.0,0.0,28.58
113,2021-12-31 17:00:00,NORTH,1770.7709,48.5,53.0,84.5,16.0,0.0,26.34,49.0,60.0,67.0,7.0,0.0,28.6
114,2021-12-31 18:00:00,NORTH,919.062538,48.0,53.0,83.0,18.0,28.0,26.32,49.0,58.0,72.0,3.0,0.0,28.62
115,2021-12-31 19:00:00,NORTH,938.119404,45.0,54.0,72.0,17.0,28.0,26.3,51.0,58.0,78.0,3.0,0.0,28.62
116,2021-12-31 20:00:00,NORTH,916.124441,43.0,55.0,64.0,24.0,38.0,26.29,50.0,58.0,75.0,0.0,0.0,28.62
117,2021-12-31 21:00:00,NORTH,886.943872,44.0,54.0,69.0,29.0,38.0,26.27,51.0,58.0,78.0,0.0,0.0,28.59
118,2021-12-31 22:00:00,NORTH,859.408149,42.0,56.0,60.0,21.0,36.0,26.28,54.0,56.0,93.0,9.0,0.0,28.61
119,2021-12-31 23:00:00,NORTH,831.148872,45.0,53.0,74.0,21.0,31.0,26.26,55.0,56.0,97.0,10.0,0.0,28.58
