"extracted_date","price_co","open_co","high_co","low_co","vol_co","change_percent_co","price_ng","open_ng","high_ng","low_ng","vol_ng","change_percent_ng","price_ho","open_ho","high_ho","low_ho","vol_ho","change_percent_ho"
2019-11-01 00:00:00.000,"56.200","54.150","56.330","54.070","538.12K","3.73%","2.714","2.637","2.718","2.575","239.45K","3.08%","1.933","1.875","2","1.873","75.46K","2.93%"
2019-02-15 00:00:00.000,"55.590","54.480","55.870","54.240","276.91K","2.17%","2.625","2.572","2.637","2.543","98.41K","2.02%","2.020","1.975","2","1.972","56.94K","2.47%"
2019-10-14 00:00:00.000,"53.590","54.900","54.900","52.770","467.64K",-2.03%,"2.28","2.238","2.313","2.228","171.69K","2.98%","1.915","1.963","2","1.904","66.20K",-2.17%
2019-10-31 00:00:00.000,"54.180","54.900","55.590","53.710","677.42K",-1.60%,"2.633","2.686","2.738","2.606","222.32K",-2.16%,"1.878","1.915","2","1.869","5.15K",-1.86%
2019-08-15 00:00:00.000,"54.470","54.900","55.330","53.770","527.87K",-1.38%,"2.232","2.159","2.267","2.138","206.77K","4.15%","1.811","1.837","2","1.803","53.04K",-1.79%
2019-02-04 00:00:00.000,"54.560","55.320","55.750","53.290","622.47K",-1.27%,"2.66","2.705","2.733","2.655","116.49K",-2.71%,"1.907","1.918","2","1.882","59.99K",-0.28%
2019-12-02 00:00:00.000,"55.960","55.470","56.670","55.420","616.42K","1.43%","2.329","2.315","2.369","2.289","219.04K","2.10%","1.886","1.882","2","1.882","70.12K","0.38%"
2019-07-19 00:00:00.000,"55.630","55.720","56.360","54.990","105.22K","0.60%","2.251","2.29","2.3","2.242","109.06K",-1.57%,"1.890","1.886","2","1.873","37.27K","1.46%"
2019-08-22 00:00:00.000,"55.350","55.940","56.460","54.850","621.57K",-0.59%,"2.159","2.169","2.195","2.145","113.11K",-0.51%,"1.841","1.857","2","1.833","29.59K",-0.86%
2019-09-05 00:00:00.000,"56.300","55.950","57.760","55.750","712.47K","0.07%","2.435","2.442","2.468","2.388","229.80K",-0.41%,"1.889","1.880","2","1.875","63.71K","0.44%"
2019-12-03 00:00:00.000,"56.100","55.960","56.800","55.350","560.55K","0.25%","2.441","2.345","2.51","2.34","307.31K","4.81%","1.880","1.887","2","1.869","59.05K",-0.32%
2021-02-04 00:00:00.000,"56.230","55.960","56.580","55.300","381.40K","0.97%","2.935","2.776","2.977","2.734","186.93K","5.23%","1.701","1.695","2","1.673","50.56K","0.59%"
2018-11-15 00:00:00.000,"56.460","56.020","57.260","55.590","256.50K","0.37%","4.038","4.672","4.8","3.882","362.51K",-16.52%,"2.074","2.095","2","2.069","61.43K",-1.04%
2019-11-07 00:00:00.000,"57.150","56.350","57.880","56.270","678.17K","1.42%","2.772","2.823","2.882","2.753","301.60K",-1.98%,"1.920","1.931","2","1.912","69.10K",-0.39%
2019-11-20 00:00:00.000,"57.110","55.160","57.250","54.760","31.92K","3.44%","2.559","2.514","2.581","2.505","146.06K","1.95%","1.892","1.856","2","1.847","35.84K","1.87%"
2019-08-28 00:00:00.000,"55.780","55.710","56.750","55.340","674.05K","1.55%","2.251","2.201","2.277","2.195","8.66K","2.23%","1.851","1.832","2","1.825","16.89K","1.93%"
2019-10-29 00:00:00.000,"55.540","55.800","55.910","54.610","521.46K",-0.48%,"2.597","2.459","2.64","2.449","8.45K","6.17%","1.956","1.962","2","1.928","18.95K",-0.28%
